E,k_avg,k2_avg,c_avg,r,modularity,n_comm,knn_uncorr
27637.0,7.25,179.0446,0.008,-0.0087,0.3357,58.0,24.6958
27646.0,7.2524,180.2896,0.0082,-0.0165,0.3347,58.0,24.8594
27647.0,7.2526,180.341,0.0077,-0.0029,0.3352,53.0,24.8656
27635.0,7.2495,179.558,0.0083,-0.0077,0.3341,55.0,24.7684
27648.0,7.2529,180.4226,0.0082,-0.0208,0.3356,49.0,24.876
27666.0,7.2576,180.7802,0.0083,-0.0099,0.336,50.0,24.9091
27656.0,7.255,180.5769,0.0081,-0.0159,0.3347,49.0,24.89
27635.0,7.2495,180.2531,0.0073,-0.0093,0.3338,50.0,24.8643
27622.0,7.2461,179.3597,0.0088,-0.0053,0.3353,62.0,24.7527
27635.0,7.2495,179.3623,0.0072,0.0007,0.3352,55.0,24.7414
27647.0,7.2526,180.3256,0.0079,-0.017,0.3354,58.0,24.8635
27660.0,7.256,180.1257,0.0082,-0.0035,0.3341,47.0,24.8243
27632.0,7.2487,180.1178,0.0083,-0.0153,0.3339,49.0,24.8483
27663.0,7.2568,180.6878,0.0082,-0.0043,0.3334,48.0,24.899
27649.0,7.2531,180.1978,0.0077,-0.0064,0.335,55.0,24.8441
27646.0,7.2524,180.1028,0.0076,-0.0005,0.3374,55.0,24.8337
27661.0,7.2563,180.8402,0.0071,-0.0056,0.3318,43.0,24.9218
27635.0,7.2495,179.8431,0.0084,-0.0122,0.3347,57.0,24.8077
27649.0,7.2531,180.1338,0.0083,-0.0133,0.3375,48.0,24.8353
27637.0,7.25,179.3395,0.008,-0.0062,0.3342,56.0,24.7365
27647.0,7.2526,180.3481,0.0083,-0.0165,0.3347,60.0,24.8666
27652.0,7.2539,180.3437,0.007,-0.0127,0.3338,53.0,24.8615
27654.0,7.2545,180.3696,0.0074,-0.0115,0.3314,52.0,24.8633
27649.0,7.2531,180.0184,0.0087,0.002,0.334,55.0,24.8193
27648.0,7.2529,180.1647,0.0082,-0.0067,0.3329,50.0,24.8404
27660.0,7.256,180.7474,0.0086,-0.0182,0.3354,51.0,24.9099
27635.0,7.2495,179.9622,0.0085,-0.0078,0.3355,46.0,24.8242
27673.0,7.2594,180.9814,0.0082,-0.0183,0.3345,56.0,24.9305
27667.0,7.2579,180.952,0.0084,-0.0072,0.3342,59.0,24.9318
